AcquisitionYear,Business,ParentCompany,Category
2015,Cloud software,Google,Internet_Search
2015,Video editing,Google,Internet_Search
2015,Cloud-based video management,IBM,Computing_platform
2015,Big Data Analytics,Microsoft,Computing_platform
2015,Mobile communications,Microsoft,Computing_platform
2016,Emotion recognition,Apple,Computing_platform
1987,Computer software,Microsoft,Computing_platform
1988,Software,Apple,Computing_platform
1988,Satellite communication systems,Apple,Computing_platform
1988,Computer software,Apple,Computing_platform
1988,Computer software,Apple,Computing_platform
1989,Computer software,Apple,Computing_platform
2016,Streaming video,IBM,Computing_platform
1992,PC database software,Microsoft,Computing_platform
1994,Software,Microsoft,Computing_platform
1994,Software,Microsoft,Computing_platform
1994,Software,Microsoft,Computing_platform
1995,3D graphics hardware,Microsoft,Computing_platform
1995,Software,Microsoft,Computing_platform
1995,Computer software,Microsoft,Computing_platform
2016,Education technology,Apple,Computing_platform
2017,Anonymous social media app,Facebook,SNS
1995,Programming,Microsoft,Computing_platform
1996,Software,Microsoft,Computing_platform
1996,Software,Microsoft,Computing_platform
1996,Video game controllers,Microsoft,Computing_platform
1996,Computer software,Microsoft,Computing_platform
1996,Software,Microsoft,Computing_platform
1996,Electronic games,Microsoft,Computing_platform
1997,Internet software,Microsoft,Computing_platform
2016,Digital marketing and creative agency,IBM,Computing_platform
1997,Unix-like hardware and software platform,Apple,Computing_platform
1997,Internet software,Microsoft,Computing_platform
1997,Internet service provider,Microsoft,Computing_platform
1997,Java-based platforms,Microsoft,Computing_platform
1997,Programming,Microsoft,Computing_platform
1997,Internet video software,Microsoft,Computing_platform
1997,Web search engine,Yahoo,Internet_Search
1997,Macintosh clones,Apple,Computing_platform
1997,Web-based email,Yahoo,Internet_Search
2016,Augmented reality,Apple,Computing_platform
1997,Internet software,Microsoft,Computing_platform
1998,Enterprise instant messaging software,Microsoft,Computing_platform
1998,Online game,Yahoo,Internet_Search
1998,Relationship management software,Microsoft,Computing_platform
1998,Data sharing software,Microsoft,Computing_platform
1998,Fantasy sport,Yahoo,Internet_Search
1998,Web application,Yahoo,Internet_Search
1998,Calendaring software,Yahoo,Internet_Search
1998,Internet software,Microsoft,Computing_platform
1998,Direct marketing,Yahoo,Internet_Search
1998,Internet advertising network,Microsoft,Computing_platform
1998,Data analysis,Yahoo,Internet_Search
1999,Computer game software,Microsoft,Computing_platform
1999,Shopping online,Microsoft,Computing_platform
1999,Software,Microsoft,Computing_platform
1999,Internet radio,Yahoo,Internet_Search
1999,Web music software,Microsoft,Computing_platform
1999,Internet service provider,Microsoft,Computing_platform
1999,Internet service provider,Yahoo,Internet_Search
1999,Web hosting service,Yahoo,Internet_Search
1999,Content delivery network,Yahoo,Internet_Search
1999,Wholesale computer software,Microsoft,Computing_platform
1999,Internet software,Microsoft,Computing_platform
1999,Defect detection software,Microsoft,Computing_platform
1999,Computer programming,Microsoft,Computing_platform
1999,Software,Microsoft,Computing_platform
2016,Platform security,Apple,Computing_platform
1999,Computer graphic chips,Apple,Computing_platform
2000,Wholesale drawing software,Microsoft,Computing_platform
2000,Internet software,Apple,Computing_platform
2000,Internet service provider,Microsoft,Computing_platform
2000,E-commerce payment systems,Yahoo,Internet_Search
2000,Internet service provider,Yahoo,Internet_Search
2000,Cable television,Microsoft,Computing_platform
2000,Computer software,Microsoft,Computing_platform
2000,E-commerce,Yahoo,Internet_Search
2000,Software,Microsoft,Computing_platform
2000,Electronic mailing list,Yahoo,Internet_Search
2000,Online music search engine,Microsoft,Computing_platform
2000,Digital audio technology,Microsoft,Computing_platform
2000,Software,Apple,Computing_platform
2001,Productivity software,Apple,Computing_platform
2001,Usenet,Google,Internet_Search
2001,Internet service provider,Microsoft,Computing_platform
2001,Business management software,Microsoft,Computing_platform
2001,Internet service provider (ISP),Apple,Computing_platform
2001,Business strategy consulting,IBM,Computing_platform
2001,Online music store,Yahoo,Internet_Search
2001,Online Spanish Portal,Microsoft,Computing_platform
2001,Database Software,IBM,Computing_platform
2016,Platform for musicians,Google,Internet_Search
2001,Graphics software,Apple,Computing_platform
2001,Web search engine,Google,Internet_Search
2001,Online info systems services,Apple,Computing_platform
2002,Software,IBM,Computing_platform
2002,Special effects software,Apple,Computing_platform
2002,Job search engine,Yahoo,Internet_Search
2002,Travel agency,Microsoft,Computing_platform
2002,FireWire chips and software,Apple,Computing_platform
2002,Software,Microsoft,Computing_platform
2002,Digital effects software,Apple,Computing_platform
2002,internet and network optimization for wireless carriers,Apple,Computing_platform
2002,Special-effects titling software for film and video,Apple,Computing_platform
2002,Computer consulting,Microsoft,Computing_platform
2002,Enterprise storage,IBM,Computing_platform
2002,Security software,Microsoft,Computing_platform
2002,Business Process Management,IBM,Computing_platform
2016,"Provider of cloud-based healthcare data, analytics and insights",IBM,Computing_platform
2017,Cinemagraphic photo app,Microsoft,Computing_platform
2002,Business Consulting and Technology Services,IBM,Computing_platform
2002,Software,IBM,Computing_platform
2002,Product lifecycle management,IBM,Computing_platform
2002,Online enterprise location,Microsoft,Computing_platform
2002,Internet service provider,Yahoo,Internet_Search
2003,Weblog software,Google,Internet_Search
2003,Software Development,IBM,Computing_platform
2003,Software,Microsoft,Computing_platform
2016,Mobile application development,Microsoft,Computing_platform
2003,Online advertising,Google,Internet_Search
2003,Customer relationship management,Google,Internet_Search
2003,Web conferencing,Microsoft,Computing_platform
2003,Information technology,Microsoft,Computing_platform
2003,Search engine marketing,Yahoo,Internet_Search
2003,Software,IBM,Computing_platform
2003,Software,Microsoft,Computing_platform
2016,"Cyber security, incident response platform",IBM,Computing_platform
2003,Web search engine,Google,Internet_Search
2003,Blogging,Google,Internet_Search
2003,Online advertising,Google,Internet_Search
2003,Enterprise Information Integration,IBM,Computing_platform
2003,Automated Self-Checkout Systems,IBM,Computing_platform
2003,Content management software,IBM,Computing_platform
2004,Product information management,IBM,Computing_platform
2004,IP assets,Microsoft,Computing_platform
2004,Reporting systems,Microsoft,Computing_platform
2004,HTML editor,Google,Internet_Search
2004,Infrastructure management,IBM,Computing_platform
2004,Web-based email,Yahoo,Internet_Search
2004,Image organizer,Google,Internet_Search
2004,Business Intelligence,IBM,Computing_platform
2004,Personal search tool,Microsoft,Computing_platform
2004,Application management software,IBM,Computing_platform
2004,Traffic analysis,Google,Internet_Search
2004,Audio player,Yahoo,Internet_Search
2004,Enterprise Information Integration,IBM,Computing_platform
2004,Web-based email,Yahoo,Internet_Search
2004,Map analysis,Google,Internet_Search
2004,Business process services,IBM,Computing_platform
2016,Salesforce systems integrator and professional services,IBM,Computing_platform
2004,Mobile media,Yahoo,Internet_Search
