,business,category
1,Internet_Search,1
2,Computing_platform,2
3,SNS,3
4,Identity management,2
5,Wireless data sharing,1
6,Software,2
7,Online game,1
8,Application Services,2
9,Web analytics,1
10,Gesture recognition company,2
11,Community software,2
12,Enterprise Information Integration,2
13,Application Server,2
14,Messaging,2
15,Social networking service,1
16,Weblog software,1
17,Voice over Internet Protocol,1
18,Software,2
19,Application Management,2
20,Widget engine,1
21,Asset Management,2
22,Enterprise Information Integration,2
23,Mobile operating system,1
24,AboutFace,3
25,VoIP,2
26,Email protection,2
27,Certificate management software,2
28,Calendaring software,1
29,Service Oriented Architecture (SOA),2
30,Graphics library,1
31,Information management software,2
32,Network management,2
33,Social bookmarking,1
34,Portal-based tools,2
35,Widget engine,1
36,Online music store,1
37,Advertising,1
38,Web search engine,1
39,Software,2
40,IT Financial Management,2
41,Semiconductor Manufacturing software,2
42,Supply chain optimization,2
43,Software,2
44,Weblog software,1
45,Network management,2
46,Internet software,2
47,Software,2
48,Word processor,1
49,3D modeling software,1
50,Identity management,2
51,Digital video recorder,1
52,Software Development,2
53,Mapping software,2
54,Video game advertising,2
55,Metadata management,2
56,Web log analysis,2
57,Online spreadsheets,1
58,Analysis software,2
59,application virtualization software,2
60,Software,2
61,Service Oriented Architecture software,2
62,Online video editing,1
63,Applications,2
64,Asset Management,2
65,Video sharing,1
66,Natural language software,2
67,Content management software,2
68,Software,2
69,Online advertising,1
70,Management consulting,2
71,Information security,2
72,Web application,1
73,Social media,1
74,Social network service,1
75,Telecommunications Management,2
76,In-game advertising,1
77,Data Mobility,2
78,Internet search engine,2
79,Enterprise Data Consulting,2
80,Software tools,2
81,Online advertising,1
82,Presentation program,1
83,Online advertising,1
84,Mobile phone software,2
85,Business Intelligence software,2
86,Computer security,1
87,Social networking service,1
88,Web feed,1
89,Information technology,2
90,Parallel processing,1
91,Master Data Management,2
92,Presentation program,1
93,College sports,1
94,Networking,2
95,Voice over IP,1
96,Communications security,1
97,Offline applications/Web desktop,3
98,Aerial photography,1
99,Security Software Testing,2
100,Digital marketing,2
101,Ad Exchange,2
102,Web conferencing and communications,2
103,Advertising network,1
104,Business Intelligence,2
105,News site,1
106,Collaborative software,1
107,Social networking service,1
108,Search engine,2
109,Enterprise messaging software,2
110,Storage Consulting and Technology Services,2
111,Business Intelligence,2
112,Software,2
113,Database Software,2
114,Data backup services,2
115,Browser extension,1
116,Software,2
117,Video on demand,1
118,Enterprise Single Sign-On,2
119,Advertising yield management software,2
120,Rootkit security software,2
121,Online search software,2
122,Mobile Internet software,2
123,Data De-duplication,2
124,Application Recovery Software,2
125,Semiconductors,2
126,Data Feed Connectors,2
127,Browser extension,1
128,Software,2
129,Management software,2
130,Social networking,3
131,"Mainframe, System Z technologies",2
132,Online video,1
133,Semantic Search,2
134,Data software,2
135,Search and e-commerce services,2
136,Virtualization Software,2
137,Data Discovery Software,2
138,Bioinformatics solutions for life science research,2
139,Maps,2
140,Webmail applications,1
141,Source code analysis,2
142,Statistical analysis software,2
143,Video compression,1
144,Social networking aggregator,3
145,Security,1
146,Software,2
147,Voice over IP,1
148,Mobile advertising,1
149,Online advertising,1
150,Database monitoring and protection,2
151,Collaborative real-time editor,1
152,Music streaming,2
153,Identity and Access Management Software for Healthcare,2
154,Business Process Management,2
